Node Pair,Common Neighbors,Jaccard Coefficient,Preferential Attachment,Target
0-1,7,0.3888888888888889,144,1
0-2,5,0.23809523809523808,160,1
0-3,5,0.29411764705882354,96,1
0-4,2,0.11764705882352941,48,1
0-5,2,0.1111111111111111,64,1
0-6,2,0.1111111111111111,64,1
0-7,3,0.17647058823529413,64,1
0-8,1,0.05,80,1
0-9,1,0.058823529411764705,32,0
0-10,2,0.11764705882352941,48,1
0-11,0,0.0,16,1
0-12,1,0.058823529411764705,32,1
0-13,3,0.16666666666666666,80,1
0-14,0,0.0,32,0
0-15,0,0.0,32,0
0-16,2,0.125,32,0
0-17,1,0.058823529411764705,32,1
0-18,0,0.0,32,0
0-19,1,0.05555555555555555,48,1
0-20,0,0.0,32,0
0-21,1,0.058823529411764705,32,1
0-22,0,0.0,32,0
0-23,0,0.0,80,0
0-24,1,0.05555555555555555,48,0
0-25,1,0.05555555555555555,48,0
0-26,0,0.0,32,0
0-27,1,0.05263157894736842,64,0
0-28,2,0.11764705882352941,48,0
0-29,0,0.0,64,0
0-30,2,0.1111111111111111,64,0
0-31,0,0.0,96,1
0-32,3,0.12,192,0
0-33,4,0.13793103448275862,272,0
1-2,4,0.26666666666666666,90,1
1-3,4,0.36363636363636365,54,1
1-4,1,0.09090909090909091,27,0
1-5,1,0.08333333333333333,36,0
1-6,1,0.08333333333333333,36,0
1-7,3,0.3,36,1
1-8,3,0.2727272727272727,45,0
1-9,1,0.1,18,0
1-10,1,0.09090909090909091,27,0
1-11,1,0.1111111111111111,9,0
1-12,2,0.2222222222222222,18,0
1-13,3,0.2727272727272727,45,1
1-14,0,0.0,18,0
1-15,0,0.0,18,0
1-16,0,0.0,18,0
1-17,1,0.1,18,1
1-18,0,0.0,18,0
1-19,1,0.09090909090909091,27,1
1-20,0,0.0,18,0
1-21,1,0.1,18,1
1-22,0,0.0,18,0
1-23,0,0.0,45,0
1-24,0,0.0,27,0
1-25,0,0.0,27,0
1-26,0,0.0,18,0
1-27,1,0.08333333333333333,36,0
1-28,1,0.09090909090909091,27,0
1-29,0,0.0,36,0
1-30,0,0.0,36,1
1-31,1,0.07142857142857142,54,0
1-32,2,0.10526315789473684,108,0
1-33,3,0.13043478260869565,153,0
2-3,4,0.3333333333333333,60,1
2-4,1,0.08333333333333333,30,0
2-5,1,0.07692307692307693,40,0
2-6,1,0.07692307692307693,40,0
2-7,3,0.2727272727272727,40,1
2-8,2,0.15384615384615385,50,1
2-9,0,0.0,20,1
2-10,1,0.08333333333333333,30,0
2-11,1,0.1,10,0
2-12,2,0.2,20,0
2-13,3,0.25,50,1
2-14,1,0.09090909090909091,20,0
2-15,1,0.09090909090909091,20,0
2-16,0,0.0,20,0
2-17,2,0.2,20,0
2-18,1,0.09090909090909091,20,0
2-19,2,0.18181818181818182,30,0
2-20,1,0.09090909090909091,20,0
2-21,2,0.2,20,0
2-22,1,0.09090909090909091,20,0
2-23,2,0.15384615384615385,50,0
2-24,1,0.08333333333333333,30,0
2-25,0,0.0,30,0
2-26,0,0.0,20,0
2-27,0,0.0,40,1
2-28,0,0.0,30,1
2-29,1,0.07692307692307693,40,0
2-30,3,0.2727272727272727,40,0
2-31,3,0.23076923076923078,60,0
2-32,1,0.047619047619047616,120,1
2-33,6,0.2857142857142857,170,0
3-4,1,0.125,18,0
3-5,1,0.1111111111111111,24,0
3-6,1,0.1111111111111111,24,0
3-7,3,0.42857142857142855,24,1
3-8,2,0.2222222222222222,30,0
3-9,1,0.14285714285714285,12,0
3-10,1,0.125,18,0
3-11,1,0.16666666666666666,6,0
3-12,1,0.14285714285714285,12,1
3-13,3,0.375,30,1
3-14,0,0.0,12,0
3-15,0,0.0,12,0
3-16,0,0.0,12,0
3-17,2,0.3333333333333333,12,0
3-18,0,0.0,12,0
3-19,2,0.2857142857142857,18,0
3-20,0,0.0,12,0
3-21,2,0.3333333333333333,12,0
3-22,0,0.0,12,0
3-23,0,0.0,30,0
3-24,0,0.0,18,0
3-25,0,0.0,18,0
3-26,0,0.0,12,0
3-27,1,0.1111111111111111,24,0
3-28,1,0.125,18,0
3-29,0,0.0,24,0
3-30,1,0.1111111111111111,24,0
3-31,1,0.09090909090909091,36,0
3-32,1,0.058823529411764705,72,0
3-33,1,0.045454545454545456,102,0
4-5,3,0.75,12,0
4-6,1,0.16666666666666666,12,1
4-7,1,0.16666666666666666,12,0
4-8,1,0.14285714285714285,15,0
4-9,0,0.0,6,0
4-10,1,0.2,9,1
4-11,1,0.3333333333333333,3,0
4-12,1,0.25,6,0
4-13,1,0.14285714285714285,15,0
4-14,0,0.0,6,0
4-15,0,0.0,6,0
4-16,1,0.25,6,0
4-17,1,0.25,6,0
4-18,0,0.0,6,0
4-19,1,0.2,9,0
4-20,0,0.0,6,0
4-21,1,0.25,6,0
4-22,0,0.0,6,0
4-23,0,0.0,15,0
4-24,0,0.0,9,0
4-25,0,0.0,9,0
4-26,0,0.0,6,0
4-27,0,0.0,12,0
4-28,0,0.0,9,0
4-29,0,0.0,12,0
4-30,0,0.0,12,0
4-31,1,0.125,18,0
4-32,0,0.0,36,0
4-33,0,0.0,51,0
5-6,2,0.3333333333333333,16,1
5-7,1,0.14285714285714285,16,0
5-8,1,0.125,20,0
5-9,0,0.0,8,0
5-10,1,0.16666666666666666,12,1
5-11,1,0.25,4,0
5-12,1,0.2,8,0
5-13,1,0.125,20,0
5-14,0,0.0,8,0
5-15,0,0.0,8,0
5-16,1,0.2,8,1
5-17,1,0.2,8,0
5-18,0,0.0,8,0
5-19,1,0.16666666666666666,12,0
5-20,0,0.0,8,0
5-21,1,0.2,8,0
5-22,0,0.0,8,0
5-23,0,0.0,20,0
5-24,0,0.0,12,0
5-25,0,0.0,12,0
5-26,0,0.0,8,0
5-27,0,0.0,16,0
5-28,0,0.0,12,0
5-29,0,0.0,16,0
5-30,0,0.0,16,0
5-31,1,0.1111111111111111,24,0
5-32,0,0.0,48,0
5-33,0,0.0,68,0
6-7,1,0.14285714285714285,16,0
6-8,1,0.125,20,0
6-9,0,0.0,8,0
6-10,3,0.75,12,0
6-11,1,0.25,4,0
6-12,1,0.2,8,0
6-13,1,0.125,20,0
6-14,0,0.0,8,0
6-15,0,0.0,8,0
6-16,1,0.2,8,1
6-17,1,0.2,8,0
6-18,0,0.0,8,0
6-19,1,0.16666666666666666,12,0
6-20,0,0.0,8,0
6-21,1,0.2,8,0
6-22,0,0.0,8,0
6-23,0,0.0,20,0
6-24,0,0.0,12,0
6-25,0,0.0,12,0
6-26,0,0.0,8,0
6-27,0,0.0,16,0
6-28,0,0.0,12,0
6-29,0,0.0,16,0
6-30,0,0.0,16,0
6-31,1,0.1111111111111111,24,0
6-32,0,0.0,48,0
6-33,0,0.0,68,0
7-8,2,0.2857142857142857,20,0
7-9,1,0.2,8,0
7-10,1,0.16666666666666666,12,0
7-11,1,0.25,4,0
7-12,2,0.5,8,0
7-13,4,0.8,20,0
7-14,0,0.0,8,0
7-15,0,0.0,8,0
7-16,0,0.0,8,0
7-17,2,0.5,8,0
7-18,0,0.0,8,0
7-19,2,0.4,12,0
7-20,0,0.0,8,0
7-21,2,0.5,8,0
7-22,0,0.0,8,0
7-23,0,0.0,20,0
7-24,0,0.0,12,0
7-25,0,0.0,12,0
7-26,0,0.0,8,0
7-27,1,0.14285714285714285,16,0
7-28,1,0.16666666666666666,12,0
7-29,0,0.0,16,0
7-30,1,0.14285714285714285,16,0
7-31,1,0.1111111111111111,24,0
7-32,1,0.06666666666666667,48,0
7-33,0,0.0,68,0
8-9,2,0.4,10,0
8-10,1,0.14285714285714285,15,0
8-11,1,0.2,5,0
8-12,1,0.16666666666666666,10,0
8-13,3,0.42857142857142855,25,0
8-14,2,0.4,10,0
8-15,2,0.4,10,0
8-16,0,0.0,10,0
8-17,1,0.16666666666666666,10,0
8-18,2,0.4,10,0
8-19,2,0.3333333333333333,15,0
8-20,2,0.4,10,0
8-21,1,0.16666666666666666,10,0
8-22,2,0.4,10,0
8-23,2,0.25,25,0
8-24,0,0.0,15,0
8-25,0,0.0,15,0
8-26,1,0.16666666666666666,10,0
8-27,2,0.2857142857142857,20,0
8-28,2,0.3333333333333333,15,0
8-29,2,0.2857142857142857,20,0
8-30,2,0.2857142857142857,20,1
8-31,3,0.375,30,0
8-32,3,0.21428571428571427,60,1
8-33,2,0.1,85,1
9-10,0,0.0,6,0
9-11,0,0.0,2,0
9-12,0,0.0,4,0
9-13,2,0.4,10,0
9-14,1,0.3333333333333333,4,0
9-15,1,0.3333333333333333,4,0
9-16,0,0.0,4,0
9-17,0,0.0,4,0
9-18,1,0.3333333333333333,4,0
9-19,1,0.25,6,0
9-20,1,0.3333333333333333,4,0
9-21,0,0.0,4,0
9-22,1,0.3333333333333333,4,0
9-23,1,0.16666666666666666,10,0
9-24,0,0.0,6,0
9-25,0,0.0,6,0
9-26,1,0.3333333333333333,4,0
9-27,2,0.5,8,0
9-28,2,0.6666666666666666,6,0
9-29,1,0.2,8,0
9-30,1,0.2,8,0
9-31,1,0.14285714285714285,12,0
9-32,2,0.16666666666666666,24,0
9-33,0,0.0,34,1
10-11,1,0.3333333333333333,3,0
10-12,1,0.25,6,0
10-13,1,0.14285714285714285,15,0
10-14,0,0.0,6,0
10-15,0,0.0,6,0
10-16,1,0.25,6,0
10-17,1,0.25,6,0
10-18,0,0.0,6,0
10-19,1,0.2,9,0
10-20,0,0.0,6,0
10-21,1,0.25,6,0
10-22,0,0.0,6,0
10-23,0,0.0,15,0
10-24,0,0.0,9,0
10-25,0,0.0,9,0
10-26,0,0.0,6,0
10-27,0,0.0,12,0
10-28,0,0.0,9,0
10-29,0,0.0,12,0
10-30,0,0.0,12,0
10-31,1,0.125,18,0
10-32,0,0.0,36,0
10-33,0,0.0,51,0
11-12,1,0.5,2,0
11-13,1,0.2,5,0
11-14,0,0.0,2,0
11-15,0,0.0,2,0
11-16,0,0.0,2,0
11-17,1,0.5,2,0
11-18,0,0.0,2,0
11-19,1,0.3333333333333333,3,0
11-20,0,0.0,2,0
11-21,1,0.5,2,0
11-22,0,0.0,2,0
11-23,0,0.0,5,0
11-24,0,0.0,3,0
11-25,0,0.0,3,0
11-26,0,0.0,2,0
11-27,0,0.0,4,0
11-28,0,0.0,3,0
11-29,0,0.0,4,0
11-30,0,0.0,4,0
11-31,1,0.16666666666666666,6,0
11-32,0,0.0,12,0
11-33,0,0.0,17,0
12-13,2,0.4,10,0
12-14,0,0.0,4,0
12-15,0,0.0,4,0
12-16,0,0.0,4,0
12-17,1,0.3333333333333333,4,0
12-18,0,0.0,4,0
12-19,1,0.25,6,0
12-20,0,0.0,4,0
12-21,1,0.3333333333333333,4,0
12-22,0,0.0,4,0
12-23,0,0.0,10,0
12-24,0,0.0,6,0
12-25,0,0.0,6,0
12-26,0,0.0,4,0
12-27,0,0.0,8,0
12-28,0,0.0,6,0
12-29,0,0.0,8,0
12-30,0,0.0,8,0
12-31,1,0.14285714285714285,12,0
12-32,0,0.0,24,0
12-33,0,0.0,34,0
13-14,1,0.16666666666666666,10,0
13-15,1,0.16666666666666666,10,0
13-16,0,0.0,10,0
13-17,2,0.4,10,0
13-18,1,0.16666666666666666,10,0
13-19,3,0.6,15,0
13-20,1,0.16666666666666666,10,0
13-21,2,0.4,10,0
13-22,1,0.16666666666666666,10,0
13-23,1,0.1111111111111111,25,0
13-24,0,0.0,15,0
13-25,0,0.0,15,0
13-26,1,0.16666666666666666,10,0
13-27,2,0.2857142857142857,20,0
13-28,2,0.3333333333333333,15,0
13-29,1,0.125,20,0
13-30,2,0.2857142857142857,20,0
13-31,2,0.2222222222222222,30,0
13-32,2,0.13333333333333333,60,0
13-33,0,0.0,85,1
14-15,2,1.0,4,0
14-16,0,0.0,4,0
14-17,0,0.0,4,0
14-18,2,1.0,4,0
14-19,1,0.25,6,0
14-20,2,1.0,4,0
14-21,0,0.0,4,0
14-22,2,1.0,4,0
14-23,2,0.4,10,0
14-24,0,0.0,6,0
14-25,0,0.0,6,0
14-26,1,0.3333333333333333,4,0
14-27,1,0.2,8,0
14-28,1,0.25,6,0
14-29,2,0.5,8,0
14-30,2,0.5,8,0
14-31,2,0.3333333333333333,12,0
14-32,1,0.07692307692307693,24,1
14-33,1,0.05555555555555555,34,1
15-16,0,0.0,4,0
15-17,0,0.0,4,0
15-18,2,1.0,4,0
15-19,1,0.25,6,0
15-20,2,1.0,4,0
15-21,0,0.0,4,0
15-22,2,1.0,4,0
15-23,2,0.4,10,0
15-24,0,0.0,6,0
15-25,0,0.0,6,0
15-26,1,0.3333333333333333,4,0
15-27,1,0.2,8,0
15-28,1,0.25,6,0
15-29,2,0.5,8,0
15-30,2,0.5,8,0
15-31,2,0.3333333333333333,12,0
15-32,1,0.07692307692307693,24,1
15-33,1,0.05555555555555555,34,1
16-17,0,0.0,4,0
16-18,0,0.0,4,0
16-19,0,0.0,6,0
16-20,0,0.0,4,0
16-21,0,0.0,4,0
16-22,0,0.0,4,0
16-23,0,0.0,10,0
16-24,0,0.0,6,0
16-25,0,0.0,6,0
16-26,0,0.0,4,0
16-27,0,0.0,8,0
16-28,0,0.0,6,0
16-29,0,0.0,8,0
16-30,0,0.0,8,0
16-31,0,0.0,12,0
16-32,0,0.0,24,0
16-33,0,0.0,34,0
17-18,0,0.0,4,0
17-19,2,0.6666666666666666,6,0
17-20,0,0.0,4,0
17-21,2,1.0,4,0
17-22,0,0.0,4,0
17-23,0,0.0,10,0
17-24,0,0.0,6,0
17-25,0,0.0,6,0
17-26,0,0.0,4,0
17-27,0,0.0,8,0
17-28,0,0.0,6,0
17-29,0,0.0,8,0
17-30,1,0.2,8,0
17-31,1,0.14285714285714285,12,0
17-32,0,0.0,24,0
17-33,0,0.0,34,0
18-19,1,0.25,6,0
18-20,2,1.0,4,0
18-21,0,0.0,4,0
18-22,2,1.0,4,0
18-23,2,0.4,10,0
18-24,0,0.0,6,0
18-25,0,0.0,6,0
18-26,1,0.3333333333333333,4,0
18-27,1,0.2,8,0
18-28,1,0.25,6,0
18-29,2,0.5,8,0
18-30,2,0.5,8,0
18-31,2,0.3333333333333333,12,0
18-32,1,0.07692307692307693,24,1
18-33,1,0.05555555555555555,34,1
19-20,1,0.25,6,0
19-21,2,0.6666666666666666,6,0
19-22,1,0.25,6,0
19-23,1,0.14285714285714285,15,0
19-24,0,0.0,9,0
19-25,0,0.0,9,0
19-26,1,0.25,6,0
19-27,1,0.16666666666666666,12,0
19-28,1,0.2,9,0
19-29,1,0.16666666666666666,12,0
19-30,2,0.4,12,0
19-31,2,0.2857142857142857,18,0
19-32,1,0.07142857142857142,36,0
19-33,0,0.0,51,1
20-21,0,0.0,4,0
20-22,2,1.0,4,0
20-23,2,0.4,10,0
20-24,0,0.0,6,0
20-25,0,0.0,6,0
20-26,1,0.3333333333333333,4,0
20-27,1,0.2,8,0
20-28,1,0.25,6,0
20-29,2,0.5,8,0
20-30,2,0.5,8,0
20-31,2,0.3333333333333333,12,0
20-32,1,0.07692307692307693,24,1
20-33,1,0.05555555555555555,34,1
21-22,0,0.0,4,0
21-23,0,0.0,10,0
21-24,0,0.0,6,0
21-25,0,0.0,6,0
21-26,0,0.0,4,0
21-27,0,0.0,8,0
21-28,0,0.0,6,0
21-29,0,0.0,8,0
21-30,1,0.2,8,0
21-31,1,0.14285714285714285,12,0
21-32,0,0.0,24,0
21-33,0,0.0,34,0
22-23,2,0.4,10,0
22-24,0,0.0,6,0
22-25,0,0.0,6,0
22-26,1,0.3333333333333333,4,0
22-27,1,0.2,8,0
22-28,1,0.25,6,0
22-29,2,0.5,8,0
22-30,2,0.5,8,0
22-31,2,0.3333333333333333,12,0
22-32,1,0.07692307692307693,24,1
22-33,1,0.05555555555555555,34,1
23-24,2,0.3333333333333333,15,0
23-25,0,0.0,15,1
23-26,2,0.4,10,0
23-27,1,0.125,20,1
23-28,1,0.14285714285714285,15,0
23-29,2,0.2857142857142857,20,1
23-30,2,0.2857142857142857,20,0
23-31,3,0.375,30,0
23-32,2,0.13333333333333333,60,1
23-33,3,0.15789473684210525,85,1
24-25,1,0.2,9,1
24-26,0,0.0,6,0
24-27,0,0.0,12,1
24-28,1,0.2,9,0
24-29,0,0.0,12,0
24-30,0,0.0,12,0
24-31,1,0.125,18,1
24-32,1,0.07142857142857142,36,0
24-33,2,0.1111111111111111,51,0
25-26,0,0.0,6,0
25-27,2,0.4,12,0
25-28,1,0.2,9,0
25-29,1,0.16666666666666666,12,0
25-30,0,0.0,12,0
25-31,1,0.125,18,1
25-32,2,0.15384615384615385,36,0
25-33,2,0.1111111111111111,51,0
26-27,1,0.2,8,0
26-28,1,0.25,6,0
26-29,1,0.2,8,1
26-30,1,0.2,8,0
26-31,1,0.14285714285714285,12,0
26-32,2,0.16666666666666666,24,0
26-33,1,0.05555555555555555,34,1
27-28,2,0.4,12,0
27-29,2,0.3333333333333333,16,0
27-30,1,0.14285714285714285,16,0
27-31,2,0.25,24,0
27-32,3,0.23076923076923078,48,0
27-33,1,0.05,68,1
28-29,1,0.16666666666666666,12,0
28-30,1,0.16666666666666666,12,0
28-31,1,0.125,18,1
28-32,3,0.25,36,0
28-33,1,0.05263157894736842,51,1
29-30,2,0.3333333333333333,16,0
29-31,2,0.25,24,0
29-32,2,0.14285714285714285,48,1
29-33,3,0.16666666666666666,68,1
30-31,2,0.25,24,0
30-32,2,0.14285714285714285,48,1
30-33,2,0.10526315789473684,68,1
31-32,1,0.058823529411764705,72,1
31-33,2,0.09523809523809523,102,1
32-33,10,0.5263157894736842,204,1
